First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Eldari,Kurtanidze,,"5' 6""",235 lbs.,--,Orthodox,0,1,0,
Kyle,Kurtz,,--,170 lbs.,--,,7,5,0,
Guram,Kutateladze,Georgian Viking,"5' 11""",155 lbs.,"72.0""",Orthodox,12,4,0,
Lina,Kvokov,,"5' 9""",135 lbs.,--,Orthodox,0,3,0,
Kaleo,Kwan,Leo Boy,"5' 7""",155 lbs.,--,,11,16,0,
Jarrod,Kwitty,,"5' 8""",185 lbs.,--,,2,2,0,
Mike,Kyle,MAK,"6' 4""",205 lbs.,"77.0""",Orthodox,22,14,1,
,,,,,,,,,,
Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0,
Josh,LaBerge,,"5' 10""",145 lbs.,--,,11,6,0,
Jeremiah,Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5,0,
Daniel,Lacerda,Miojo,"5' 6""",125 lbs.,"70.0""",Switch,11,5,0,
Luan,Lacerda,,"5' 7""",135 lbs.,"71.0""",Orthodox,12,3,0,
Kemran,Lachinov,,--,170 lbs.,--,,3,2,0,
Aspen,Ladd,,"5' 6""",135 lbs.,"66.0""",Orthodox,9,3,0,
Ryan,LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3,0,
Corinne,Laframboise,,--,125 lbs.,--,,8,4,0,
Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0,
Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0,
Tina,Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1,0,
Yohan,Lainesse,White Lion,"6' 1""",170 lbs.,"76.0""",Orthodox,9,2,0,
Tim,Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,7,6,1,
Todd,Lally,,"5' 7""",145 lbs.,--,Orthodox,2,1,0,
Sean,Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,7,3,0,
Ricardo,Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8,0,
Jason,Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13,0,
Jose,Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,29,16,0,
Nate,Landwehr,The Train,"5' 9""",145 lbs.,"72.0""",Orthodox,17,5,0,
Austen,Lane,,"6' 6""",245 lbs.,"80.0""",Orthodox,12,3,0,
Aaron,Lanfranco,,--,155 lbs.,--,,5,1,0,
Jeremy,Lang,,"5' 11""",205 lbs.,--,Southpaw,21,2,0,
Lionel,Lanham,,--,205 lbs.,--,,5,1,0,
Lina,Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,10,8,0,
Taylor,Lapilus,Double Impact,"5' 6""",135 lbs.,"73.0""",Southpaw,18,3,0,
Chad,Laprise,The Disciple,"5' 10""",170 lbs.,"71.0""",Orthodox,13,4,0,
Anthony,Lapsley,The Recipe,"5' 9""",170 lbs.,--,Southpaw,23,7,0,
TJ,Laramie,,"5' 6""",145 lbs.,"66.0""",Orthodox,12,5,0,
Icho,Larenas,,"6' 3""",235 lbs.,--,Orthodox,6,5,0,
Lorenz,Larkin,The Monsoon,"5' 11""",170 lbs.,"72.0""",Orthodox,18,6,0,
Jeremy,Larsen,,"5' 10""",145 lbs.,"70.0""",Orthodox,8,5,0,
Brock,Larson,,"5' 11""",170 lbs.,"71.0""",Southpaw,42,10,0,
Ryan,Larson,,--,170 lbs.,--,,6,2,0,
Bobby,Lashley,,"6' 3""",255 lbs.,"78.0""",Orthodox,15,2,0,
Ilir,Latifi,The Sledgehammer,"5' 10""",230 lbs.,"73.0""",Orthodox,17,9,0,
Sione,Latu,,"6' 0""",215 lbs.,--,,1,0,0,
Jenel,Lausa,,"5' 5""",125 lbs.,"68.0""",Orthodox,7,5,0,
Joe,Lauzon,,"5' 10""",155 lbs.,"71.0""",Orthodox,28,16,0,
Dan,Lauzon,The Upgrade,"5' 10""",155 lbs.,--,Orthodox,17,6,0,
Sandra,Lavado,Peruvian Zombie,"5' 7""",115 lbs.,"66.0""",Orthodox,10,3,0,
Chatt,Lavender,,"5' 8""",170 lbs.,--,,9,7,0,
Muhammed,Lawal,King Mo,"6' 0""",205 lbs.,"78.0""",Southpaw,21,6,0,
Robbie,Lawler,Ruthless,"5' 11""",170 lbs.,"74.0""",Southpaw,30,16,0,
Tom,Lawlor,Filthy,"6' 0""",205 lbs.,"74.0""",Southpaw,10,6,0,
Justin,Lawrence,The American Kidd,"5' 8""",145 lbs.,"67.0""",Orthodox,10,4,0,
Lance,Lawrence,,"6' 1""",145 lbs.,"74.0""",Orthodox,4,1,0,
Ronnie,Lawrence,The Heat,"5' 8""",135 lbs.,"68.0""",Switch,8,2,0,
Eric,Lawson,,"6' 0""",185 lbs.,--,Orthodox,9,5,0,
Jimmy,Lawson,Greedy,"6' 0""",265 lbs.,"77.0""",Orthodox,4,2,0,
Valmir,Lazaro,Bidu,"6' 0""",155 lbs.,"73.0""",Orthodox,15,5,0,
Zviad,Lazishvili,,"5' 6""",135 lbs.,"69.0""",Orthodox,13,1,0,
Mounir,Lazzez,The Sniper,"6' 1""",170 lbs.,"76.0""",Orthodox,11,3,0,
Cung,Le,,"5' 9""",185 lbs.,"70.0""",Southpaw,9,3,0,
Thanh,Le,,"5' 9""",145 lbs.,"74.0""",Orthodox,6,1,0,
Jordan,Leavitt,The Monkey King,"5' 9""",155 lbs.,"71.0""",Southpaw,11,2,0,
Jerome,LeBanner,,"6' 3""",265 lbs.,--,Southpaw,3,2,0,
Chris,Leben,The Crippler,"5' 11""",185 lbs.,"73.0""",Southpaw,22,11,0,
Mickael,Lebout,Ragnar,"5' 11""",155 lbs.,"73.0""",Orthodox,16,7,1,
Stephen,Ledbetter,,"5' 9""",145 lbs.,--,Orthodox,8,3,0,
Justin,Ledet,El Blanco,"6' 4""",205 lbs.,"80.0""",Orthodox,9,4,0,
James,Lee,,"5' 11""",205 lbs.,--,Southpaw,15,3,0,
David,Lee,,"5' 10""",155 lbs.,--,Orthodox,12,10,0,
Jackie,Lee,,--,--,--,,0,1,0,
Eun Soo,Lee,,"6' 1""",215 lbs.,--,Orthodox,17,4,0,
Tae Hyun,Lee,,"6' 6""",295 lbs.,--,Orthodox,1,2,0,
Tommy,Lee,,"5' 7""",145 lbs.,--,Orthodox,25,6,0,
Matt,Lee,,"5' 11""",155 lbs.,--,Orthodox,14,10,1,
Imani,Lee,,--,--,--,Orthodox,2,4,0,
Vaughan,Lee,,"5' 6""",125 lbs.,"66.0""",Orthodox,14,13,1,
Kevin,Lee,The Motown Phenom,"5' 9""",170 lbs.,"77.0""",Orthodox,18,8,0,
Rocky,Lee,,"5' 9""",145 lbs.,--,Orthodox,3,2,0,
Andrea,Lee,KGB,"5' 6""",125 lbs.,"69.0""",Orthodox,13,7,0,
JeongYeong,Lee,Korean Tiger,"5' 10""",145 lbs.,"73.0""",Orthodox,10,1,0,
JungHyun,Lee,The Phenom,"5' 5""",125 lbs.,"65.0""",Orthodox,8,1,0,
ChangHo,Lee,,"5' 8""",135 lbs.,"69.0""",Orthodox,8,1,0,
Ricky,Legere Jr.,IE Bad Boy,"5' 8""",170 lbs.,--,,14,4,0,
Sherron,Leggett,Rob Roy,"5' 8""",155 lbs.,--,Southpaw,21,6,0,
Cheyden,Leialoha,Steadfast,"5' 8""",135 lbs.,"73.0""",Orthodox,6,0,0,
Claudia,Leite,,"5' 3""",135 lbs.,"64.0""",Orthodox,8,3,0,
Thales,Leites,,"6' 1""",185 lbs.,"78.0""",Orthodox,28,9,0,
Stefan,Leko,Blitz,"6' 2""",215 lbs.,--,Orthodox,0,3,0,
Gabe,Lemley,,"5' 8""",155 lbs.,--,Orthodox,13,9,0,
Amanda,Lemos,,"5' 4""",115 lbs.,"65.0""",Southpaw,13,2,1,
Giacomo,Lemos,,"6' 3""",247 lbs.,"75.0""",Orthodox,6,0,0,
Christophe,Leninger,,"6' 0""",200 lbs.,--,Southpaw,3,4,0,
Jesse,Lennox,The Ox,"5' 9""",170 lbs.,"72.0""",Orthodox,14,4,0,
Jean Francois,Lenogue,,"6' 0""",185 lbs.,--,Orthodox,16,17,3,
Nik,Lentz,The Carny,"5' 8""",145 lbs.,"68.0""",Orthodox,30,12,2,
Alberta Cerra,Leon,,"5' 8""",238 lbs.,--,,0,1,0,
Victoria,Leonardo,Fury,"5' 5""",125 lbs.,"64.0""",Orthodox,9,6,0,
Anthony,Leone,,"5' 6""",135 lbs.,--,Orthodox,15,8,0,
Chad,Leonhardt,The Boss,"6' 0""",170 lbs.,--,,9,4,0,
Kimo,Leopoldo,,"6' 3""",235 lbs.,--,Orthodox,10,7,1,
Michael,Lerma,,--,--,--,,0,1,0,
Lukasz,Les,,--,170 lbs.,--,,8,3,0,
Brock,Lesnar,,"6' 3""",265 lbs.,"81.0""",Orthodox,5,3,0,
Frank,Lester,,"5' 11""",170 lbs.,--,Orthodox,11,6,0,
Valerie,Letourneau,Trouble,"5' 7""",115 lbs.,"68.0""",Orthodox,8,6,0,
Leah,Letson,Nidas,"5' 7""",145 lbs.,"71.0""",,5,3,0,
Justin,Levens,The Executioner,"5' 11""",185 lbs.,--,Orthodox,10,7,0,
Marcus,LeVesseur,The Prospect,"5' 9""",155 lbs.,"70.0""",Southpaw,22,7,0,
David,Levicki,,"6' 5""",275 lbs.,--,,1,3,0,
Kyle,Levinton,,--,--,--,,0,3,0,
Natan,Levy,Lethal,"5' 9""",155 lbs.,"71.0""",Southpaw,8,1,0,
John,Lewis,,"6' 0""",155 lbs.,--,Southpaw,3,4,3,
Derrick,Lewis,The Black Beast,"6' 3""",260 lbs.,"79.0""",Orthodox,26,11,0,
Bevon,Lewis,,"6' 3""",185 lbs.,"79.0""",Orthodox,7,3,0,
Brandon,Lewis,,"5' 4""",135 lbs.,"70.0""",Orthodox,6,2,0,
Malik,Lewis,Hard Knock,"6' 0""",155 lbs.,"76.0""",Orthodox,5,1,0,
Chi,Lewis-Parry,Chopper,"6' 9""",243 lbs.,--,,7,0,1,
Li,Jingliang,The Leech,"6' 0""",170 lbs.,"71.0""",Orthodox,19,8,0,
Li,Kaiwen,The Underdog,"5' 9""",145 lbs.,"72.0""",Southpaw,11,5,0,
Liang,Na,The Dragon Girl,"5' 5""",125 lbs.,"67.0""",Orthodox,19,6,0,
Jess,Liaudin,The Joker,"5' 9""",170 lbs.,"72.0""",Orthodox,20,11,0,
Chuck,Liddell,The Iceman,"6' 2""",205 lbs.,"76.0""",Orthodox,21,8,0,
Rodrigo,Lidio,Dynamis,"5' 11""",155 lbs.,"73.0""",Orthodox,12,3,0,
Sam,Liera,,--,--,--,,12,10,0,
Zach,Light,,"5' 8""",170 lbs.,--,Orthodox,9,11,0,
Scott,Lighty,,"6' 2""",205 lbs.,--,,6,2,0,
Chris,Liguori,,"5' 9""",185 lbs.,--,Orthodox,15,10,0,
Donnie,Liles,,"5' 9""",170 lbs.,--,Orthodox,17,7,0,
Jae Suk,Lim,,"5' 9""",170 lbs.,--,Orthodox,17,6,0,
Hyun Gyu,Lim,The Ace,"6' 3""",170 lbs.,"77.0""",Orthodox,13,7,1,
Juliana,Lima,Ju Thai,"5' 5""",115 lbs.,"65.0""",Orthodox,9,5,0,
Dhiego,Lima,,"6' 2""",170 lbs.,"75.0""",Orthodox,17,9,0,
Douglas,Lima,The Phenom,"6' 1""",170 lbs.,--,,29,6,0,
Mabelly,Lima,,"5' 2""",135 lbs.,--,Orthodox,7,1,0,
Miguel,Linares,,--,--,--,,2,4,0,
Emiliano,Linares,Golden Bull,"5' 8""",145 lbs.,"72.0""",Orthodox,8,2,0,
Matt,Lindland,The Law,"6' 0""",185 lbs.,"74.0""",Southpaw,22,9,0,
Jake,Lindsey,The Librarian,"5' 11""",155 lbs.,--,Switch,12,7,0,
John,Lineker,Hands of Stone,"5' 3""",135 lbs.,"67.0""",Orthodox,31,9,0,
Austin,Lingo,Lights Out,"5' 10""",145 lbs.,"70.0""",Orthodox,9,3,0,
Lucio,Linhares,,"6' 2""",185 lbs.,--,Orthodox,19,8,0,
Philipe,Lins,Monstro,"6' 2""",205 lbs.,"78.0""",Orthodox,17,5,0,
Ariane,Lipski,Queen of Violence,"5' 6""",125 lbs.,"67.0""",Orthodox,16,8,0,
Tainara,Lisboa,Thai Panther,"5' 7""",135 lbs.,"67.0""",Orthodox,6,2,0,
Dean,Lister,The Boogeyman,"6' 1""",185 lbs.,"75.0""",Orthodox,13,7,0,
Wesley,Little,,"6' 4""",205 lbs.,--,,4,8,0,
James,Llontop,Goku,--,155 lbs.,--,,13,2,0,
Abner,Lloveras,Skullman,"5' 11""",155 lbs.,--,,20,9,1,
Brian,Lo-A-Njoe,,"5' 7""",155 lbs.,--,Orthodox,6,10,3,
John,Lober,The Machine,"5' 11""",199 lbs.,--,Orthodox,5,9,4,
Artem,Lobov,The Russian Hammer,"5' 9""",145 lbs.,"65.0""",Southpaw,13,15,1,
Dylan,Lockard,,"5' 9""",145 lbs.,"72.0""",Orthodox,6,2,0,
Sean,Loeffler,The Destroyer,"6' 3""",185 lbs.,--,Orthodox,31,5,0,
Christian,Lohsen,Hollywood,"6' 2""",155 lbs.,"77.0""",Southpaw,4,2,0,
David,Loiseau,The Crow,"6' 0""",185 lbs.,"76.0""",Orthodox,23,11,0,
Hector,Lombard,,"5' 9""",185 lbs.,"71.0""",Southpaw,34,10,1,
Michael,Lombardo,The Don,"6' 0""",170 lbs.,"72.0""",Orthodox,11,2,0,
Rocky,Long,,--,145 lbs.,--,,21,37,1,
Thomas,Longacre,,"5' 9""",145 lbs.,--,Orthodox,6,1,0,
Loma,Lookboonmee,,"5' 1""",115 lbs.,"61.0""",Orthodox,8,3,0,
Ange,Loosa,The Last Ninja,"5' 10""",170 lbs.,"74.0""",Orthodox,9,3,0,
Lucas,Lopes,,"6' 2""",185 lbs.,--,,29,19,0,
Dileno,Lopes,,"5' 5""",135 lbs.,--,,19,3,0,
Diego,Lopes,,"5' 11""",145 lbs.,"72.0""",Orthodox,21,6,0,
Bruno,Lopes,Brunao,--,205 lbs.,--,,11,0,0,
Ivan,Lopez,,"5' 6""",135 lbs.,--,Southpaw,14,3,1,
Steve,Lopez,,"5' 11""",155 lbs.,--,Orthodox,13,6,1,
Federico,Lopez,Kiko,"5' 4""",139 lbs.,--,Orthodox,10,6,0,
Jorge,Lopez,,"5' 10""",170 lbs.,--,Orthodox,11,5,0,
Christopher,Lopez,,"5' 10""",170 lbs.,--,,9,1,0,
Matthew,Lopez,,"5' 7""",135 lbs.,"69.0""",Southpaw,10,4,0,
Benito,Lopez,Golden Boy,"5' 10""",135 lbs.,"73.0""",Switch,10,2,0,
Gustavo,Lopez,,"5' 5""",135 lbs.,"67.0""",Orthodox,12,6,1,
Brendan,Loughnane,,"5' 10""",145 lbs.,"70.0""",Switch,17,3,0,
Nate,Loughran,,"6' 2""",185 lbs.,--,Orthodox,11,2,0,
Rashard,Lovelace,,--,155 lbs.,--,,4,1,0,
Ian,Loveland,The Barn Owl,"5' 8""",145 lbs.,--,Orthodox,18,10,0,
Jakob,Lovstad,The Striking Viking,"6' 3""",205 lbs.,--,Orthodox,11,4,0,
Waylon,Lowe,,"5' 7""",145 lbs.,--,Southpaw,16,7,0,
Brandon,Lowe,,--,155 lbs.,--,,2,1,0,
Joe,Lowry,,"5' 11""",155 lbs.,"73.0""",Orthodox,9,2,0,
Lu,Kai,The Last Gladiator,"5' 9""",145 lbs.,"69.0""",Orthodox,8,5,0,
Lu,Zhengyong,,--,125 lbs.,--,,12,7,0,
Robert,Lucarelli,,"6' 2""",245 lbs.,--,,0,1,0,
Matt,Lucas,Luke Duke,"6' 1""",205 lbs.,--,,15,3,0,
Cleber,Luciano,,"5' 6""",155 lbs.,--,,14,6,0,
Iasmin,Lucindo,,"5' 3""",115 lbs.,"66.0""",Orthodox,14,5,0,
Duane,Ludwig,Bang,"5' 10""",170 lbs.,"70.0""",Orthodox,21,14,0,
Mike,Lullo,,"5' 8""",145 lbs.,--,Orthodox,8,3,0,
Dalcha,Lungiambula,Champion,"5' 8""",185 lbs.,"76.0""",Orthodox,11,6,0,
Alexandru,Lungu,,"6' 0""",385 lbs.,--,Orthodox,14,4,0,
Vicente,Luque,The Silent Assassin,"5' 11""",170 lbs.,"76.0""",Orthodox,21,9,1,
Thaddeus,Luster,,"6' 3""",210 lbs.,--,,0,1,0,
Travis,Lutter,The Serial Killer,"5' 11""",185 lbs.,"75.0""",Orthodox,10,6,0,
Tucker,Lutz,Top Gun,"5' 8""",145 lbs.,"72.0""",Orthodox,12,4,0,
Lv,Zhenhong,,"5' 8""",145 lbs.,"67.0""",Switch,16,6,0,
Stevie,Lynch,,"5' 10""",170 lbs.,--,Orthodox,5,2,0,
Adam,Lynn,,"5' 10""",155 lbs.,--,Orthodox,17,10,0,
Chris,Lytle,Lights Out,"5' 11""",170 lbs.,"68.0""",Orthodox,31,18,5,
,,,,,,,,,,
Dong Hyun,Ma,Maestro,"5' 11""",155 lbs.,"70.0""",Orthodox,16,11,3,
Pawan,Maan,,"5' 7""",155 lbs.,"70.0""",Orthodox,7,3,1,
William,Macario,Patolino,"5' 11""",170 lbs.,"75.0""",Orthodox,9,3,0,
Jason,MacDonald,The Athlete,"6' 3""",185 lbs.,"80.0""",Orthodox,25,16,0,
Rob,MacDonald,Maximus,"6' 3""",205 lbs.,"78.0""",Orthodox,5,4,0,
Rory,MacDonald,Red King,"6' 0""",170 lbs.,"76.0""",Orthodox,19,4,0,
Ryan,MacDonald,Main Event,"5' 11""",135 lbs.,"71.0""",Switch,10,2,0,
Clayton,MacFarlane,,--,170 lbs.,--,,4,1,0,
Ilima,Macfarlane,,"5' 4""",125 lbs.,--,,6,0,0,
Valesca,Machado,Tina Black,"5' 4""",115 lbs.,"63.0""",Orthodox,8,3,0,
Caio,Machado,Bigfoot,--,250 lbs.,--,,7,1,1,
Lyoto,Machida,The Dragon,"6' 1""",185 lbs.,"74.0""",Southpaw,24,8,0,
War,Machine,,"5' 11""",170 lbs.,--,Orthodox,14,5,0,
Anthony,Macias,Mad Dog,"5' 9""",185 lbs.,--,Switch,26,18,0,
Pauline,Macias,PITA,"5' 4""",115 lbs.,"64.0""",Southpaw,4,1,0,
Reza,Madadi,Mad Dog,"5' 11""",155 lbs.,"73.0""",Orthodox,14,6,0,
Don,Madge,Magic Man,"6' 0""",155 lbs.,"72.0""",Southpaw,9,3,1,
Ryan,Madigan,,"6' 0""",170 lbs.,--,Orthodox,5,3,0,
Victor,Madrigal,Periquito,--,135 lbs.,--,,12,3,0,
Jon,Madsen,,"6' 0""",240 lbs.,"72.0""",Orthodox,8,2,0,
Mark,Madsen,The Olympian,"5' 8""",155 lbs.,"72.0""",Orthodox,12,1,0,
Yoshiro,Maeda,,"5' 7""",139 lbs.,"68.0""",Southpaw,35,16,5,
Leonardo,Mafra,Macarrao,"5' 10""",155 lbs.,"70.0""",Orthodox,13,4,0,
Vinny,Magalhaes,Pezao,"6' 3""",205 lbs.,"75.0""",Orthodox,14,9,0,
Vinicius,Magalhaes,Draculinho,--,145 lbs.,--,,2,1,0,
Caio,Magalhaes,Hellboy,"6' 1""",185 lbs.,"73.0""",Orthodox,10,3,0,
Bernardo,Magalhaes,Trekko,"5' 9""",155 lbs.,--,Orthodox,13,4,0,
Eric,Magana,,--,--,--,,1,1,0,
Brandon,Magana,,--,170 lbs.,--,Orthodox,6,2,0,
Angela,Magana,Your Majesty,"5' 1""",115 lbs.,"65.0""",Orthodox,11,9,0,
Neil,Magny,The Haitian Sensation,"6' 3""",170 lbs.,"80.0""",Orthodox,28,11,0,
Raimond,Magomedaliev,,--,170 lbs.,--,,10,1,0,
Ibragim,Magomedov,,"6' 0""",250 lbs.,--,Orthodox,22,8,1,
Rashid,Magomedov,Highlander,"5' 9""",155 lbs.,"70.0""",Orthodox,20,2,0,
Ruslan,Magomedov,Leopard,"6' 3""",242 lbs.,"78.0""",Orthodox,14,1,0,
Abus,Magomedov,,"6' 2""",185 lbs.,"78.0""",Orthodox,25,5,1,
Shara,Magomedov,Bullet,"6' 2""",170 lbs.,--,,11,0,0,
Zabit,Magomedsharipov,,"6' 1""",145 lbs.,"73.0""",Orthodox,18,1,0,
John,Maguire,The One,"5' 9""",155 lbs.,"69.0""",Southpaw,24,9,0,
Lolohea,Mahe,,--,--,--,,10,4,1,
Michelle,Maher,,--,145 lbs.,--,,1,2,0,
,Maheshate,,"6' 0""",155 lbs.,"71.0""",Orthodox,9,3,0,
Bill,Mahood,The Butcher,"6' 3""",200 lbs.,--,Orthodox,20,7,1,
Klayton,Mai,,"5' 9""",125 lbs.,--,,8,3,0,
Demian,Maia,,"6' 1""",170 lbs.,"72.0""",Southpaw,28,11,0,
Jennifer,Maia,,"5' 4""",125 lbs.,"64.0""",Orthodox,21,9,1,
Nayara,Maia,Capita,"5' 5""",125 lbs.,"66.0""",Orthodox,7,1,1,
Roshan,Mainam,The Indian Notorious,--,135 lbs.,--,,6,3,0,
Levan,Makashvili,The Hornet,"5' 8""",145 lbs.,"68.0""",Orthodox,15,2,1,
John,Makdessi,The Bull,"5' 8""",155 lbs.,"68.0""",Orthodox,18,8,0,
Islam,Makhachev,,"5' 10""",155 lbs.,"70.0""",Southpaw,24,1,0,
Aliev,Makhmud,,"5' 6""",195 lbs.,--,Southpaw,0,1,0,
Zach,Makovsky,Fun Size,"5' 4""",125 lbs.,"64.0""",Southpaw,20,8,0,
Azat,Maksum,Qazaq,"5' 7""",125 lbs.,"70.0""",Southpaw,17,0,0,
Jeremy,Malaterre,,"5' 11""",155 lbs.,--,,4,2,0,
Fabio,Maldonado,Caipira de Aco,"6' 1""",205 lbs.,"75.0""",Orthodox,23,11,0,
Marvin,Maldonado,The Bulldog,"5' 6""",135 lbs.,--,,2,4,0,
Bea,Malecki,,"5' 9""",135 lbs.,"74.0""",Orthodox,4,1,0,
Nazareno,Malegarie,El Tigre,"5' 8""",155 lbs.,--,,28,4,0,
Carl,Malenko,,"5' 11""",200 lbs.,--,Orthodox,6,4,0,
Jacob,Malkoun,Mamba,"5' 9""",185 lbs.,"73.0""",Orthodox,7,2,0,
Mike,Malott,Proper,"6' 1""",170 lbs.,"73.0""",Orthodox,10,1,1,
Dan,Manasoiu,,--,--,--,,0,0,0,
Troy,Mandaloniz,Rude Boy,"5' 9""",170 lbs.,--,Orthodox,3,2,0,
Nate,Maness,Mayhem,"5' 10""",125 lbs.,"72.0""",Orthodox,14,3,0,
Michael,Mangan,,--,155 lbs.,--,,0,3,0,
Gary,Mangat,,"5' 7""",135 lbs.,--,,15,3,0,
Melvin,Manhoef,No Mercy,"5' 9""",185 lbs.,--,Orthodox,30,14,1,
Melchor,Manibusan,Barracuda,"5' 5""",154 lbs.,--,Southpaw,2,4,0,
Jon,Manley,,"6' 1""",170 lbs.,--,Orthodox,9,4,0,
Steve,Mann,,"6' 1""",170 lbs.,--,,12,5,0,
Marnic,Mann,The Sawed-Off Savage,"5' 0""",115 lbs.,"64.0""",Southpaw,5,1,0,
Dylan,Mantello,The Quiet Man,--,155 lbs.,--,,7,2,0,
Chris,Manuel,,"5' 9""",135 lbs.,--,Orthodox,9,7,2,
Jimi,Manuwa,Poster Boy,"6' 1""",205 lbs.,"79.0""",Orthodox,17,6,0,
Cristiano,Marcello,,"5' 9""",155 lbs.,"72.0""",Orthodox,13,6,0,
Daniel,Marcos,Soncora,"5' 7""",135 lbs.,"69.0""",Orthodox,14,0,0,
Jose,Maria,No Chance,"5' 5""",125 lbs.,--,Orthodox,37,7,0,
Marcos,Mariano,Dhalsim,"6' 1""",155 lbs.,"76.0""",Switch,6,6,0,
Enrique,Marin,Wasabi,"5' 10""",170 lbs.,--,,10,4,0,
Chepe,Mariscal,Machine Gun,"5' 7""",155 lbs.,"69.0""",Orthodox,14,6,1,
Ronny,Markes,,"6' 1""",185 lbs.,"75.0""",Orthodox,17,5,0,
Rory,Markham,,"6' 0""",170 lbs.,"71.0""",Orthodox,17,6,0,
Randa,Markos,Quiet Storm,"5' 4""",115 lbs.,"63.0""",Orthodox,11,12,1,
Christina,Marks,,"5' 7""",125 lbs.,"69.0""",Orthodox,8,9,0,
Nate,Marquardt,The Great,"6' 0""",185 lbs.,"74.0""",Orthodox,35,19,2,
Danilo,Marques,,"6' 6""",205 lbs.,"77.0""",Orthodox,11,4,0,
Julian,Marquez,The Cuban Missile Crisis,"6' 2""",185 lbs.,"72.0""",Orthodox,9,4,0,
Carmelo,Marrero,The Fury,"6' 0""",205 lbs.,"73.0""",Orthodox,16,6,0,
Cesar,Marscucci,,--,--,--,,3,2,0,
John,Marsh,,"6' 0""",265 lbs.,--,Orthodox,8,7,0,
CJ,Marsh,,--,--,--,,5,7,0,
Eliot,Marshall,Fire,"6' 2""",205 lbs.,"77.0""",Orthodox,10,4,0,
Doug,Marshall,The Rhino,"5' 10""",205 lbs.,--,Orthodox,18,8,0,
David,Marshall,,"6' 2""",170 lbs.,--,,8,4,0,
Francis,Marshall,Fire,"5' 9""",145 lbs.,"72.0""",Orthodox,7,1,0,
Jack,Marshman,The Hammer,"6' 0""",185 lbs.,"73.0""",Orthodox,23,10,0,
Terry,Martin,,"5' 8""",185 lbs.,"71.0""",Orthodox,23,11,0,
Eric,Martin,,--,--,--,,0,1,0,
Justin,Martin,,"6' 0""",185 lbs.,--,,4,3,0,
Dave,Martin,,"6' 0""",205 lbs.,--,,0,2,0,
Joe,Martin,,"5' 9""",170 lbs.,--,,6,8,0,
Anthony Rocco,Martin,,"6' 0""",170 lbs.,"73.0""",Orthodox,17,6,0,
Mallory,Martin,,"5' 4""",115 lbs.,"63.0""",Orthodox,7,5,0,
Michal,Martinek,,"6' 2""",230 lbs.,--,Southpaw,7,1,0,
Rainy,Martinez,,"6' 0""",199 lbs.,--,Orthodox,0,2,0,
Danny,Martinez,The Gremlin,"5' 6""",125 lbs.,"67.0""",Orthodox,21,8,0,
Alonzo,Martinez,Zo Diddy,"5' 10""",155 lbs.,--,,42,20,1,
Henry,Martinez,Sicario,"5' 7""",155 lbs.,"69.0""",Southpaw,9,4,0,
Jonathan,Martinez,Dragon,"5' 8""",135 lbs.,"70.0""",Southpaw,18,4,0,
Poppies,Martinez,The Tachi Kid,"5' 9""",145 lbs.,--,,29,11,0,
Andrew,Martinez,Mickey D,"5' 9""",215 lbs.,--,,9,6,0,
Mana,Martinez,ManaBoi,"5' 10""",135 lbs.,"70.0""",Orthodox,10,4,0,
Victor,Martinez,The Brick,"5' 8""",155 lbs.,"70.0""",Orthodox,13,5,0,
Roque,Martinez,,"5' 10""",250 lbs.,"72.0""",Orthodox,15,8,2,
Melissa,Martinez,Super Mely,"5' 2""",115 lbs.,"66.0""",Southpaw,7,1,0,
Wagner da Conceicao,Martins,Zuluzinho,"6' 7""",390 lbs.,--,Orthodox,9,8,0,
Adriano,Martins,,"5' 10""",155 lbs.,"72.0""",Southpaw,28,9,0,
Lucas,Martins,Mineiro,"6' 0""",145 lbs.,"72.0""",Southpaw,19,3,0,
Max,Martyniouk,Payne,--,155 lbs.,--,,1,1,0,
Bristol,Marunde,,"6' 1""",170 lbs.,"75.0""",Orthodox,16,10,0,
Shoji,Maruyama,,"5' 7""",139 lbs.,--,Orthodox,12,9,1,
Kazuma,Maruyama,Gluttony,"5' 11""",155 lbs.,"72.0""",Orthodox,11,7,0,
Mike,Massenzio,The Master of Disaster,"6' 2""",185 lbs.,"73.0""",Southpaw,13,9,0,
Jameel,Massouh,,"5' 10""",145 lbs.,"72.0""",Orthodox,26,9,0,
Tiffany,Masters,Rainbow Renegade,"5' 3""",115 lbs.,"65.0""",Orthodox,2,1,0,
